position_key	move_uci	probability	observations
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -	h7h6	0.500000	2
r4b2/ppp1k1p1/8/3pP1p1/8/N1Pb3P/PP2BPP1/4RRK1 b - -	d3e4	1.000000	2
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -	c2c3	1.000000	15
r1bqk2r/pppp1ppp/1bn2n2/8/2BPP3/5N2/P4PPP/RNBQ1RK1 w kq -	d1b3	0.500000	2
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f1c4	0.947368	19
rnbqkbnr/ppp2pp1/3p3p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d4	0.750000	4
rnbqkbnr/ppp2pp1/3p3p/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -	d1d4	0.666667	3
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -	g8f6	0.857143	7
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq -	d7d5	0.666667	3
rnbqkb1r/ppp2ppp/5n2/3Pp3/2B5/3P4/PPP2PPP/RNBQK1NR b KQkq -	f6d5	1.000000	2
rnb1kbnr/ppp1pppp/3q4/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -	c3b5	0.500000	2
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	1.000000	18
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f1b5	1.000000	11
k4r2/1p6/p7/2QP1q2/P1P5/1P4P1/5P1P/4R1K1 w - -	c5e3	0.500000	2
k4r2/1p6/p7/3P4/P1P5/1P2Q1P1/2q2P1P/4R1K1 w - -	e1e2	0.500000	2
r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d4	0.666667	3
r1bqkbnr/ppp2ppp/2np4/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -	f3d4	1.000000	2
rnbqkbnr/pppp1ppp/8/3Pp3/8/8/PPP1PPPP/RNBQKBNR b KQkq -	c7c6	0.666667	3
r1bqkbnr/pppp2pp/2n5/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	e4f5	0.666667	3
r1bqkbnr/pppp2pp/2n5/5P2/2B1p3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d1e2	0.500000	2
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	1.000000	17
rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -	b8c6	0.958333	24
r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -	d7c6	1.000000	19
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/5P2/PPPP2PP/RNBQKB1R b KQkq -	f8c5	1.000000	2
