position_key	move_uci	probability	observations
rnbqkb1r/ppp2ppp/5n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -	e4d5	1.000000	2
rnbqkb1r/ppp2ppp/8/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -	g5f7	1.000000	2
rnbq1b1r/ppp2kpp/8/3np3/2B5/8/PPPP1PPP/RNBQK2R w KQ -	d1f3	1.000000	2
rnbqkb1r/ppp3pp/8/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R w KQ -	c4d5	1.000000	2
rnb1kb1r/ppp1q1pp/8/3Bp3/8/5Q2/PPPP1PPP/RNB1K2R w KQ -	b2b3	0.500000	2
r1bqkbnr/pppp1ppp/2n5/4P3/4P3/8/PPP2PPP/RNBQKBNR b KQkq -	c6e5	0.500000	2
r2k3r/pppn1ppp/3p4/1Q6/4R3/q1P1P2P/5PP1/3R2K1 b - -	d7c5	0.500000	2
1R6/pQp4p/2kp1p2/4n3/8/2P1P2P/q4PPK/8 b - -	c6d7	1.000000	2
6R1/p6Q/3p1pn1/6k1/4Pq2/2P4P/6P1/7K b - -	f4f1	0.500000	2
r1bqkb1r/ppp2ppp/2p2n2/8/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -	f8c5	1.000000	2
rnbqkb1r/pp2pppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -	b1c3	1.000000	2
1k6/8/PP6/1K6/8/8/8/8 w - -	b5c6	1.000000	2
k7/8/PPK5/8/8/8/8/8 w - -	c6b5	0.500000	2
rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	d4d5	1.000000	2
rn1qkbnr/pbpp1ppp/1p2p3/3P4/4P3/8/PPP2PPP/RNBQKBNR w KQkq -	c2c4	0.500000	2
rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e4e5	0.500000	2
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -	b1c3	1.000000	2
8/8/Q4pk1/4q1p1/1p6/7P/P5PK/8 w - -	h2g1	1.000000	2
8/8/Q4pk1/6p1/1p6/7P/P5P1/4q1K1 w - -	g1h2	0.500000	2
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq -	d8d5	0.500000	2
rnbqkbnr/pppp1ppp/8/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq -	g8f6	0.500000	2
3r2rk/p1N2Rp1/1p5p/4p3/8/P7/1PP3P1/1K3R2 w - -	c7e6	0.500000	2
r1bqkb1r/ppp2ppp/2p2n2/4P3/8/8/PPPP1PPP/RNBQKB1R b KQkq -	f6g4	1.000000	2
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	f8c5	0.500000	2
r1bqk1nr/pppp1ppp/1bn5/4p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -	c2c3	0.600000	5
1r1qk2r/Q1pbb2p/5p2/3p4/3P1n2/2N2N2/PPP3PP/2KR1B1R b k -	b8a8	1.000000	2
r2qk2r/1Qpbb2p/5p2/3p4/3P1n2/2N2N2/PPP3PP/2KR1B1R b k -	a8b8	1.000000	2
r3k2r/pp3ppp/3qbn2/2bnp1N1/2B5/2NP1Q2/PPP2PPP/R1B1K2R w KQkq -	c4b5	1.000000	2
r3k2r/pp1b1ppp/3q1n2/1Bbnp1N1/8/2NP1Q2/PPP2PPP/R1B1K2R w KQkq -	b5c4	0.500000	2
4Qr1k/p1p4n/8/2q5/1b4p1/1KN1N1P1/PP5P/7R w - -	e8e7	0.500000	2
rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -	b8c6	0.666667	3
r3kbnr/pbpp1ppp/2n2q2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -	c3d5	1.000000	2
1n5k/p4Q2/2p3Bp/8/3P2q1/4K3/PPP2B2/RN4r1 b - -	g4g5	1.000000	2
1n5k/p4Q2/2p3Bp/6q1/3P4/8/PPP1KB2/RN4r1 b - -	g5g4	1.000000	2
5k2/4R3/2N1p3/4P1p1/5bP1/2B4P/P7/5K2 w - -	e7d7	0.500000	2
8/8/3p2p1/3P2P1/1r6/4K3/2k5/8 b - -	b4b5	0.500000	2
